root,MR_number,slice_number,localImPath,localMaskPath
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00001,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00001.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00001.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00002,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00002.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00002.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00003,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00003.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00003.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00004,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00004.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00004.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00005,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00005.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00005.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00006,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00006.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00006.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00007,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00007.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00007.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00008,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00008.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00008.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00009,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00009.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00009.png
D:\IMT Atlantique\TAF\ProCom\rendu\ProCom-lightweight-network\data,1,IMG-0002-00010,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\DICOM_anon\IMG-0002-00010.dcm,CHAOS_Train_Sets\Train_Sets\MR\1\T2SPIR\Ground\IMG-0002-00010.png
